i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
13,26624,18.21488752757432,8.655732607803657,14,247.24999999999997,23,22,2,1,0,0,0,-5.191356557052537
13,26624,47.59252504807085,55.55237818203152,49,142.11498749999996,5,4,5,4,219,1,0,-3.828082950890782
13,26624,32.88718148105545,31.149902303877752,10,206.445,17,16,3,3,0,3,2,-4.074470111104103
13,26624,25.367549811198842,24.06003569594759,1,198.84111374999995,21,20,6,5,0,2,1,-4.533642168140519
14,28672,52.10102681303397,42.06354014622775,21,128.82998124999997,6,6,5,5,0,0,0,-4.583993338970526
14,28672,19.21960691397544,8.172025927342474,1,240.67612499999998,19,18,4,3,0,1,1,-4.704695289203708
14,28672,51.377515235799365,60.72504220683186,4,140.42271875,3,2,5,5,0,0,0,-4.467981331229349
14,28672,24.882934080960695,18.81415735988412,5,199.61184375000002,20,20,5,5,0,1,0,-4.060153229352313
14,28672,54.6183695376385,68.04000965203159,3,154.6634979170312,4,3,10,9,0,0,0,-4.542578139916338
15,30720,16.60772885370534,6.469298572119442,0,,25,24,0,0,0,0,0,-4.761825904207652
15,30720,16.340811441477854,5.397976483072853,0,243,22,21,1,1,0,0,0,-4.70320057529398
15,30720,31.147378619061783,32.496570087823784,2,186.77193957812497,18,17,7,6,0,1,1,-3.828979804112769
15,30720,15.033954147656914,2.7255699740635464,0,,22,21,0,0,0,0,0,-5.016285302614124
15,30720,17.43827957252506,7.11725678993389,0,236.7375,24,23,3,3,0,1,1,-4.727271859772705
16,32768,56.54727792842131,60.49071104829565,44,138.2415475,5,4,6,5,204,1,1,-3.797203655996132
16,32768,48.577777031459846,51.43636357024661,59,183,8,7,1,0,0,0,0,-5.666910580035383
16,32768,27.252039505401626,19.964014966092236,0,,13,13,0,0,0,0,0,-5.105667407507723
16,32768,49.04035881627351,50.65790975309028,29,183.19159228088665,3,2,10,9,0,0,0,-5.250659483835456
16,32768,32.44775864521312,31.109478980475124,1,199.03,6,5,3,2,227,1,1,-3.3626145571096364
17,34816,74.55898659827653,77.8686218321127,139,98.99749999999999,4,3,3,2,0,0,0,-7.500738842847481
