Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
28672,15.469244233099744,18.66119540645741,0,44.15,1,0,2,1,64,1,0,0.4923198230145083
28672,13.38818278600229,16.927177424076945,0,39,1,0,1,0,60,1,0,0.5134195195034316
30720,17.055746668484062,15.810679539572448,0,45,1,0,1,0,53,0,0,0.48302747872402224
30720,16.719018074218184,17.145714000798762,0,,1,0,0,0,55,0,0,0.39405808762453715
30720,18.24098631623201,16.51835822558496,0,43.15,1,0,2,1,58,0,0,0.48887694669636644
32768,17.104228562675416,14.814583718543872,0,32,1,0,1,0,52,0,0,0.5329624450077776
32768,13.669919218227733,23.285396222490817,0,45,1,0,1,0,71,1,0,0.5470866793326985
32768,16.731952778354753,24.68301157350652,0,58.14999999999999,1,0,2,1,75,1,0,0.4814837532571686
34816,18.149867083411664,16.33641691878438,0,31,1,0,1,0,53,0,0,0.5323290272615131
34816,17.458329047076404,15.900876023806632,0,29.15,1,0,2,1,52,0,0,0.5298736521341607
34816,14.033298555295914,11.721351742744446,0,31,1,0,1,0,42,0,0,0.48412495149602797
36864,17.895010084612295,15.03844317048788,0,30,1,0,1,0,54,0,0,0.5481191871304809
36864,18.068669200874865,15.03160935244523,0,31,1,0,1,0,53,0,0,0.5400588426609919
36864,19.188744280836545,16.641438838269096,0,36,2,1,1,0,57,0,0,0.5335635190571743
38912,18.90242447552737,23.517664708197117,1,35.1,1,0,2,1,71,1,0,0.4422684773286454
38912,18.77766208635876,23.22058193385601,0,35.1,1,0,2,1,70,2,1,0.43057951846018755
38912,19.29537627584068,24.23270943108946,0,35.25,1,0,2,1,73,1,0,0.4354235343940045
40960,20.022658446396235,22.718399413861334,0,37.4175,1,0,3,2,72,1,0,0.28424224604108095
40960,19.79710685554892,23.657344619277865,0,40.345,1,0,3,2,72,1,0,0.38600699203742417
40960,19.09620166698005,22.651675750967115,0,40,1,0,1,0,69,1,0,0.45554928899495084
43008,18.67645136662759,21.9305477803573,0,38,1,0,1,0,67,1,0,0.4835509773767082
43008,17.78059971984476,20.856755133718252,0,37.63025,1,0,4,3,64,1,0,0.4082327198342179
43008,17.219635625951923,20.073999045416713,0,37.25,1,0,2,1,62,1,0,0.4477884191217537
45056,18.21625624434091,22.89896111469716,0,37.394999999999996,1,0,3,2,69,1,1,0.41513408251867895
45056,18.523662688676268,22.48742103110999,0,33.236487499999996,1,0,5,4,68,1,1,0.4235918883801081
45056,17.972803572774865,22.082779183983803,0,37.06049999999999,1,0,4,3,67,0,0,0.3934925573049495
47104,18.419051397359,22.25827754009515,0,38.32222499999999,1,0,5,4,67,0,0,0.3863321024873067
47104,18.381029239390045,21.664288523606956,0,36.349999999999994,1,0,2,1,66,1,0,0.4595870037923262
47104,17.72594716603635,21.827120473608375,0,35.3925,1,0,3,2,66,1,0,0.4664499550736095
49152,47.33114976552315,-19.00348389754072,0,117,3,2,1,0,135,1,0,-1.0003008867850065
49152,45.36831282894127,-16.285709175281227,0,108.14999999999999,2,1,2,1,129,1,0,-0.8903113007824843
49152,55.57171490509063,-27.229758645989932,0,135.1,1,0,2,1,154,1,0,-1.3975465073388198
51200,53.37893788237125,-23.880769377865363,0,128.1,3,2,2,1,147,1,0,-1.2546196974124149
51200,46.10443669371307,-16.110186628066003,0,110,3,2,1,0,128,1,0,-0.8849133618735303
51200,33.75662255275529,-2.6797884376719594,0,77.14999999999999,6,5,2,1,97,1,0,-0.3247721941852578
53248,72.10898688645102,-26.702787587419152,9,177,3,2,1,0,209,1,0,-2.417531727442475
53248,44.52796676196158,-13.05599288753001,0,112,4,3,1,0,131,1,0,-0.9312693365497373
53248,70.23280651192181,-32.17443756875582,0,175,3,2,1,0,195,1,0,-2.110696097881905
49152,20.677779501420446,25.390625,0,51.63024999999999,1,0,4,3,75,1,0,0.3263314408472528
49152,21.430507631157525,26.167291216552258,0,52.442499999999995,1,0,3,2,77,1,0,0.34008664633954644
49152,21.290760423289612,26.5625,0,51.39249999999999,1,0,3,2,78,1,0,0.337328501239983
51200,18.683385020995047,20.497636159416288,0,46.099999999999994,1,0,2,1,63,1,0,0.37299358248712927
51200,19.33414004452061,20.887955522630364,0,46.099999999999994,1,0,2,1,64,1,0,0.4073165343278593
51200,18.403342959936708,20.476941636297852,0,46.099999999999994,1,0,2,1,63,1,0,0.3829372500757132
53248,18.472720913996454,20.482929691206664,0,47,1,0,1,0,63,1,0,0.39947459190290946
53248,18.415562900190707,20.10214002802968,0,46.15,1,0,2,1,62,1,0,0.3914569798007914
