i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
9,18432,61.232187662623886,59.797193941015465,0,77,1,0,1,0,117,1,0,-0.44868034125118916
9,18432,57.30099856154993,51.0306399082765,3,79.8,1,0,2,1,0,2,1,-1.973875361331792
9,18432,62.42579247802496,59.49025811006626,0,78,1,0,1,0,120,1,0,-0.46446150134462033
9,18432,54.097697415015325,57.06581488429081,0,75,1,0,1,0,147,2,1,-0.6196094514793835
10,20480,65.9163046409102,69.50841141207253,0,70,1,0,1,0,102,1,0,-0.0623645937495772
10,20480,66.54102076731976,70.15681525071462,0,71.10000000000001,1,0,2,1,105,1,0,-0.25598581642938145
10,20480,67.51769329820361,68.73762287731681,0,71.58024999999999,1,0,4,3,105,1,0,-0.34653790169242515
10,20480,66.53208605267785,72.23893852565776,0,78,1,0,1,0,110,1,0,-0.32025795022859815
10,20480,60.12307409770214,56.27789029206794,0,73,1,0,1,0,104,1,0,-0.32069617312549153
11,22528,66.3559003933972,69.336784528751,0,71.10000000000001,1,0,2,1,102,1,0,-0.21078611512924023
11,22528,66.16368991537736,69.04423163773922,0,73.1,1,0,2,1,104,1,0,-0.3074776620232166
11,22528,57.04651287681347,56.390104734817065,50,172,1,0,1,0,222,1,0,-5.189105529296178
11,22528,66.73045247793198,71.40378810110546,0,74.1,1,0,2,1,105,1,0,-0.3815747215113463
11,22528,66.7916193036806,69.69705150240944,0,73.29499999999999,1,0,3,2,105,1,0,-0.4494631588689366
12,24576,66.52356013655663,85.35638189345013,0,67.1,1,0,2,1,102,1,0,0.023551259185357682
12,24576,68.38528513163328,85.02899505198002,0,66.1,1,0,2,1,100,1,0,0.026849888932795666
12,24576,70.6407663859427,84.48111685365438,0,66.72287499999999,1,0,4,3,100,1,0,-0.06433273176197303
12,24576,71.90156835648749,82.53451769776416,0,63.922749999999986,1,0,4,3,99,1,0,-0.02542109091618473
12,24576,69.7581507495998,81.7822752232404,0,62.3,1,0,2,1,97,1,0,0.16018397454103486
13,26624,73.60214221772257,89.17313435084218,0,57.722224999999995,1,0,5,4,91,1,0,0.3158959649414762
13,26624,71.98168636178193,88.15946462361708,0,60.2,1,0,2,1,92,1,0,0.33126640477586344
13,26624,74.8339366995626,87.80930729375945,0,57.772875,1,0,4,3,90,1,0,0.35199994254622136
13,26624,71.28189900988026,85.489139647076,0,61.34499999999999,1,0,3,2,95,1,0,0.15394831439663625
13,26624,74.379815051899,89.70846349130507,0,60.15,1,0,2,1,92,1,0,0.43985909456030114
14,28672,72.04306517819782,88.64967279381804,0,61.294999999999995,1,0,3,2,91,1,0,0.29516303034701863
14,28672,70.54143011488992,86.5503085858148,0,66,1,0,1,0,92,1,0,0.32281476993362546
14,28672,73.4432255091903,86.30105801499806,0,62.1,1,0,2,1,91,1,0,0.28511053080751464
14,28672,71.83487961689632,86.04642277763736,0,61.199999999999996,1,0,2,1,93,1,0,0.38627067638551627
14,28672,71.78601575205508,88.8781558074381,0,62.1,1,0,2,1,92,1,0,0.3401848059104851
15,30720,68.24999339878559,89.13515637318294,0,55.1,1,0,2,1,90,1,0,0.6331272612369704
15,30720,68.77887694459213,88.19835728720615,0,62.58024999999999,1,0,4,3,95,1,0,0.27945709671181146
15,30720,69.93927236842482,87.3114232209168,0,62.5875,1,0,3,2,95,1,0,0.2238388481985996
15,30720,68.69054516797425,87.18813177078,0,61.099999999999994,1,0,2,1,93,1,0,0.35896112529195257
15,30720,68.84425908489072,88.4045628182914,0,62.199999999999996,1,0,2,1,92,1,0,0.4045030455773458
16,32768,70.4351937837815,89.0328434076202,0,57.68666937499998,1,0,6,5,89,0,0,0.2722902307078719
16,32768,66.9145915577168,88.49633501101566,0,60.3925,1,0,3,2,93,1,0,0.31568783202896866
16,32768,70.81755875713296,89.54066427217589,0,58,1,0,1,0,90,1,0,0.7038368707610329
