Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
20480,2.9775203380268067,93.58686455525458,0,,1,0,0,0,0,0,0,1.0176557489877416
20480,46.693852881435305,79.87599077969207,0,,1,0,0,0,0,0,0,0.9973496036632992
22528,63.43515201151604,93.84043086320162,0,,1,0,0,0,0,0,0,0.9959552219312738
22528,30.198274324357044,33.337792567908764,0,,1,0,0,0,96,0,0,0.786410468047944
22528,27.925850282190368,31.541966274380684,0,,1,0,0,0,92,0,0,0.7695014759518162
24576,23.928749765036628,27.00459238840267,0,,1,0,0,0,79,0,0,0.7204919427944434
24576,71.17799278930761,25.183659298636485,0,60,18,18,1,1,209,0,1,0.8567322527707912
24576,60.18010908010183,83.02277844486525,0,38,2,1,1,1,0,0,1,0.9336757734535249
14336,19.4393936159031,-10.782916103926254,16,205.02896025356935,1,0,18,17,0,2,6,-0.4235101004272261
14336,20.131368737202138,-15.854712130385451,13,196.41196573505658,1,1,10,10,0,9,2,-0.3453267593329083
14336,25.62528496637242,-6.129079648962943,14,199.32243825573653,1,0,15,15,0,8,6,-0.13002427829537427
16384,50.94970583450049,56.31134969444247,82,159.94986997806677,1,0,44,43,0,11,3,0.8041997964866029
16384,15.957746689673513,9.68967012304347,147,66.45746614223893,1,0,27,26,0,0,0,-2.07206899309036
16384,43.12962795738713,42.28541959091672,8,62.17996605466702,1,0,12,11,0,2,3,0.4501654133679992
14336,18.134445557370782,17.321401566732675,2,40.83747499999999,1,0,5,4,68,1,0,0.751866948813178
14336,58.76551948022097,71.09045253091608,57,56.823057479687485,1,0,8,7,0,8,6,-0.508636510707258
14336,62.87345909513533,80.90533573777066,0,41.64885512499999,1,0,7,7,0,3,2,0.41073208689797186
14336,46.340815466828644,91.24826558399945,3,63.4217763520923,1,0,13,12,0,3,3,0.2225005473121036
14336,54.16955162654631,31.11266391351819,104,37.887148437499995,1,0,6,6,173,3,3,-1.3886875816172972
14336,55.642532714409754,82.21595872892067,3,48.255841249999996,1,0,6,5,0,3,1,-0.13331276101587997
16384,5.597799077804666,94.0448308687337,68,32.57698777656249,1,0,8,8,0,4,4,-1.6424494762684423
16384,17.125971394125372,18.137991870753467,0,33.22042608323408,1,0,11,10,62,3,4,0.9980797246531381
16384,17.343180783791468,18.35550814321323,1,31.924293749999997,1,0,5,5,63,4,4,0.7186308155747312
18432,50.80044465721585,95.81496543250978,0,34.20846947535741,1,0,10,10,0,1,0,0.005718570365036743
18432,42.12922172155231,78.22207738645375,25,26.987356249999994,1,0,5,4,0,0,0,-0.8043175057706647
18432,32.113971197395585,81.45643934840336,101,41.152759629687495,1,0,8,8,0,0,0,-2.216469048806461
14336,23.433762180502526,13.090920209651813,2,115.2,1,0,2,1,143,1,0,0.451180458478085
14336,19.911163204233162,10.248904878972098,0,108,1,0,1,0,133,1,0,0.4311231453885616
14336,20.202028859057464,9.841739619150758,0,108,1,0,1,0,131,1,0,0.4465554868922525
16384,21.928732900414616,11.961951234843582,6,109.89659366160153,1,0,9,8,143,1,0,0.6218056456672155
16384,19.308097095927224,9.618915047030896,0,105,1,0,1,0,132,1,0,0.437734432996738
16384,21.406588464742526,12.829043355304748,0,113,1,0,1,0,140,1,0,0.4335940985825167
18432,51.779773575253785,98.28309389995411,1,17,1,0,1,0,0,0,0,1.0185297914905866
18432,34.46979527652729,7.185399714762752,1,234,1,0,1,0,0,1,0,-0.427773094667316
18432,58.05722517252434,99.17185616213828,10,9,1,0,1,0,0,22,22,0.0030975963303187925
20480,57.82839881721884,83.24285474373028,0,56.74999999999999,1,0,3,2,0,33,34,0.3648238303769993
20480,56.75880062626675,87.83261308562942,41,82.06762254217172,3,2,23,22,0,28,31,0.220063148787055
20480,54.411339381476864,67.68313197535463,18,141.37359966613644,1,1,14,13,0,8,8,0.6149978174853953
18432,29.32779089169344,3.3777874406951014,4,213,2,1,1,0,253,1,0,0.2057532162175609
18432,29.05250049661845,3.969834879899281,6,203.29999999999998,2,1,2,1,242,1,0,0.23533845892765817
18432,29.54963410302298,0.8948085684096441,0,224,2,1,1,0,0,1,0,-0.13484916407533343
20480,19.838205791893415,-16.913711378219887,0,,0,0,0,0,0,0,0,-0.4490236090659432
20480,31.763102844706737,6.797849788017629,0,216.08233281249997,1,0,6,5,0,0,1,0.04884370965721523
20480,27.498964366532164,7.13314242202614,0,216,1,0,1,0,0,1,1,-0.13426693430011064
22528,21.52928687282838,11.07025969249662,0,181,1,0,1,0,0,0,0,-0.030687014101000144
22528,21.870775709976442,11.001198523445055,0,179.1,1,0,2,1,0,0,0,0.005634157242642721
22528,23.289639718132094,10.97947572125122,0,185.51663812499996,1,0,6,5,0,0,0,0.14281514036846346
24576,40.399753810925176,75.43720955145545,0,48,1,0,1,0,0,0,0,0.810654745209604
24576,43.629968378081685,73.33700962990406,5,66.554305625,1,0,6,5,0,0,0,0.8422797787691085
24576,41.94590761399013,38.91645561961923,60,136.26175629631436,1,0,31,30,199,2,1,0.7429257237692827
22528,28.63530545437243,7.4824886627538945,0,151.1,1,0,2,1,191,1,0,0.423808534307094
22528,30.265946056169923,9.77404011919134,0,151.64075,1,0,4,3,199,1,0,0.518026687291117
22528,31.665492861066014,14.015170438324276,1,154.89575,1,0,4,3,211,1,0,0.5474513776189465
22528,36.97901982959593,40.60288405162282,45,88.33347156249998,1,0,6,6,193,2,1,-0.4371367788201006
22528,34.79599285055883,27.38538457197137,1,77,1,0,1,0,161,5,4,0.6427889437341237
22528,63.43889210111229,55.65734969568439,8,75,1,0,1,1,0,6,5,-0.26577352513133234
